Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Text_Extracted,Confidence
IMG_001,Fire Scene,fire,1 fire region,\ ada,0.82
IMG_002,Fire Scene,fire,1 fire region,Fin; i 1; vera,0.74
IMG_003,Fire Scene,fire,1 fire region,None,0.93
IMG_004,Fire Scene,fire,1 fire region,‘als; _ a,0.94
IMG_005,Fire Scene,fire,1 fire region,None,0.88
IMG_006,Fire Scene,fire,1 fire region,‘atl; CTH Al,0.95
IMG_007,Fire Scene,fire,1 fire region,None,0.92
IMG_008,Fire Scene,fire,1 fire region,nie,0.85
IMG_009,Fire Scene,fire,1 fire region,Paes; i oo; ee i,0.88
IMG_010,Fire Scene,fire,1 fire region,nee; aap; Smal,0.88
IMG_011,Fire Scene,fire,1 fire region,ee |; ors,0.85
IMG_012,Fire Scene,fire,1 fire region,FAN,0.61
IMG_013,Fire Scene,fire,1 fire region,. Pah; ey]; Bis,0.9
IMG_014,Fire Scene,fire,1 fire region,[ee; EEE,0.89
IMG_015,Fire Scene,fire,1 fire region,‘wi; cat; = eel = =,0.89
IMG_016,Fire Scene,fire,1 fire region,>See.,0.91
IMG_017,Fire Scene,fire,1 fire region,etl; ial,0.9
IMG_018,Fire Scene,fire,1 fire region,"ee,",0.91
IMG_019,Fire Scene,fire,1 fire region,2 gy,0.89
IMG_020,Fire Scene,fire,1 fire region,"¥ ct; 4, “hy",0.83
IMG_021,Fire Scene,fire,1 fire region,SMSC UCERE UME); “ae,0.82
IMG_022,Fire Scene,fire,1 fire region,None,0.9
IMG_023,Fire Scene,fire,1 fire region,Te.,0.89
IMG_024,Fire Scene,fire,1 fire region,"Ti, |",0.88
IMG_025,Fire Scene,fire,1 fire region,LETH,0.83
IMG_026,Fire Scene,fire,1 fire region,None,0.83
IMG_027,Fire Scene,fire,1 fire region,* A; ee |; er ees oe,0.82
IMG_028,Fire Scene,fire,1 fire region,eel; Pi seeatheee tail ares,0.79
IMG_029,Fire Scene,fire,1 fire region,nat got OE Te; ane; Smee ot ae,0.87
IMG_030,Fire Scene,fire,1 fire region,None,0.84
IMG_031,Fire Scene,fire,1 fire region,Od -,0.88
IMG_032,Fire Scene,fire,1 fire region,F mle); ay be; cad,0.9
IMG_033,Fire Scene,fire,1 fire region,"i eal ,",0.86
IMG_034,Fire Scene,fire,1 fire region,None,0.86
IMG_035,Fire Scene,fire,1 fire region,a 1,0.87
IMG_036,Fire Scene,fire,1 fire region,ih iete,0.86
IMG_037,Fire Scene,fire,1 fire region,None,0.87
IMG_038,Fire Scene,fire,1 fire region,None,0.85
IMG_039,Fire Scene,fire,1 fire region,—s——~e,0.85
IMG_040,Fire Scene,fire,1 fire region,‘ii,0.83
IMG_041,Fire Scene,fire,1 fire region,Lge,0.54
IMG_042,Fire Scene,fire,1 fire region,None,0.84
IMG_043,Fire Scene,fire,1 fire region,Sal; een eee,0.85
IMG_044,Fire Scene,fire,1 fire region,None,0.86
IMG_045,Fire Scene,fire,1 fire region,None,0.86
IMG_046,Fire Scene,fire,1 fire region,None,0.82
IMG_047,Fire Scene,fire,1 fire region,None,0.83
IMG_048,Fire Scene,fire,1 fire region,None,0.88
IMG_049,Fire Scene,fire,1 fire region,None,0.91
IMG_050,General Incident,None,None,None,0.0
IMG_051,Fire Scene,fire,1 fire region,None,0.93
IMG_052,Fire Scene,fire,1 fire region,None,0.93
IMG_053,Fire Scene,fire,1 fire region,| —a,0.9
IMG_054,Fire Scene,fire,1 fire region,way,0.9
IMG_055,Fire Scene,fire,1 fire region,None,0.9
IMG_056,Fire Scene,fire,1 fire region,ap Y; | eF; lity,0.86
IMG_057,Fire Scene,fire,1 fire region,ca |; ii 7; Pera,0.89
IMG_058,Fire Scene,fire,1 fire region,ree; era; Sele,0.9
IMG_059,Fire Scene,fire,1 fire region,Nt |; Me rT; =k.,0.88
IMG_060,Fire Scene,fire,1 fire region,it a. lil; a >; BR),0.84
IMG_061,Fire Scene,fire,1 fire region,yp. oy; Con; haat,0.94
IMG_062,Fire Scene,fire,1 fire region,even; Thee,0.91
IMG_063,Fire Scene,fire,1 fire region,ie §; ‘a.; at),0.93
IMG_064,Fire Scene,fire,1 fire region,he ‘9; an |; ai |,0.86
IMG_065,Fire Scene,fire,1 fire region,None,0.78
IMG_066,Fire Scene,fire,1 fire region,y) f; Sa ae,0.92
IMG_067,Fire Scene,fire,1 fire region,A vy; ee.; : nr} Ib,0.85
IMG_068,Fire Scene,fire,1 fire region,None,0.85
IMG_069,Fire Scene,fire,1 fire region,aoe,0.88
IMG_070,Fire Scene,fire,1 fire region,43 |,0.9
IMG_071,Fire Scene,fire,1 fire region,Sao; + de; ober F,0.9
IMG_072,Fire Scene,fire,1 fire region,aga; Dab; rae,0.92
IMG_073,Fire Scene,fire,1 fire region,wii; had; 7 F a,0.91
IMG_074,Fire Scene,fire,1 fire region,’ a; ‘271; ’ B.),0.9
IMG_075,Fire Scene,fire,1 fire region,ual; “ha,0.8
IMG_076,Fire Scene,fire,1 fire region,we +,0.95
IMG_077,Fire Scene,fire,1 fire region,i %; pata; Wen,0.85
IMG_078,Fire Scene,fire,1 fire region,fT]; Nh ea er; user:,0.83
IMG_079,Fire Scene,fire,1 fire region,awe,0.82
IMG_080,Fire Scene,fire,1 fire region,ats,0.83
IMG_081,Fire Scene,fire,1 fire region,Nod; a |); Bil),0.82
IMG_082,Fire Scene,fire,1 fire region,nrg,0.88
IMG_083,Fire Scene,fire,1 fire region,hen,0.94
IMG_084,Fire Scene,fire,1 fire region,Le}; ce ff; nlf,0.85
IMG_085,Fire Scene,fire,1 fire region,Ue Be,0.86
IMG_086,Fire Scene,fire,1 fire region,! by,0.88
IMG_087,Fire Scene,fire,1 fire region,None,0.92
IMG_088,Fire Scene,fire,1 fire region,None,0.9
IMG_089,Fire Scene,fire,1 fire region,None,0.9
IMG_090,Fire Scene,fire,1 fire region,par; A a); beg,0.9
IMG_091,Fire Scene,fire,1 fire region,Vie gt by; AT Py; vie,0.85
IMG_092,Fire Scene,fire,1 fire region,None,0.85
IMG_093,Fire Scene,fire,1 fire region,pet; Ses; Pra,0.89
IMG_094,Fire Scene,fire,1 fire region,None,0.9
IMG_095,Fire Scene,fire,1 fire region,ee. &,0.9
IMG_096,Fire Scene,fire,1 fire region,il?,0.85
IMG_097,Fire Scene,fire,1 fire region,Phe; eae Pr,0.94
IMG_098,Fire Scene,fire,1 fire region,J gy; Lhe,0.87
IMG_099,Fire Scene,fire,1 fire region,ie es,0.9
IMG_100,Fire Scene,fire,1 fire region,None,0.82
IMG_101,Fire Scene,fire,1 fire region,None,0.88
IMG_102,Fire Scene,fire,1 fire region,ota; . 3; Lee,0.91
IMG_103,Fire Scene,fire,1 fire region,"a eee nae at; Fa,; tidy",0.88
IMG_104,Fire Scene,fire,1 fire region,pate,0.83
IMG_105,Fire Scene,fire,1 fire region,None,0.93
IMG_106,Fire Scene,fire,1 fire region,None,0.9
IMG_107,Fire Scene,fire,1 fire region,None,0.85
IMG_108,Fire Scene,fire,1 fire region,None,0.92
IMG_109,Fire Scene,fire,1 fire region,(Py; eo); Dea ts,0.94
IMG_110,Fire Scene,fire,1 fire region,ay |; Cae Ty,0.85
IMG_111,Fire Scene,fire,1 fire region,None,0.9
IMG_112,Fire Scene,fire,1 fire region,11:03,0.84
IMG_113,Fire Scene,fire,1 fire region,“ay; Lod; eal,0.94
IMG_114,Fire Scene,fire,1 fire region,oo ay; hil; 5 eG),0.9
IMG_115,Fire Scene,fire,1 fire region,ide,0.78
IMG_116,Fire Scene,fire,1 fire region,ie 2,0.85
IMG_117,Fire Scene,fire,1 fire region,a |,0.87
IMG_118,Fire Scene,fire,1 fire region,rhs,0.9
IMG_119,Fire Scene,fire,1 fire region,sb m; Ted,0.89
IMG_120,Fire Scene,fire,1 fire region,= 4; Tit; av ca ed,0.89
IMG_121,Fire Scene,fire,1 fire region,ta |,0.86
IMG_122,Fire Scene,fire,2 fire regions,Pal,0.89
IMG_123,Fire Scene,fire,1 fire region,None,0.92
IMG_124,Fire Scene,fire,1 fire region,"rt.; p, |; 1S E",0.87
IMG_125,Fire Scene,fire,1 fire region,ere,0.89
IMG_126,Fire Scene,fire,1 fire region,4 t; AY.,0.88
IMG_127,Fire Scene,fire,1 fire region,"wie; obit,",0.83
IMG_128,Fire Scene,fire,1 fire region,che x; mal; 4 Pe,0.8
IMG_129,Fire Scene,fire,1 fire region,bee |,0.87
IMG_130,Fire Scene,fire,1 fire region,hes; a i; Pai,0.88
IMG_131,Fire Scene,fire,1 fire region,"en,; cea; aes",0.91
IMG_132,Fire Scene,fire,1 fire region,ms |; at. a,0.89
IMG_133,Fire Scene,fire,1 fire region,"we,; ‘it",0.88
IMG_134,Fire Scene,fire,1 fire region,1 la; Ot eae; a te,0.84
IMG_135,Fire Scene,fire,1 fire region,ell; 1):; Pia,0.89
IMG_136,Fire Scene,fire,1 fire region,None,0.93
IMG_137,General Incident,None,None,TT.; Cy WY * a,0.0
IMG_138,Fire Scene,fire,1 fire region,? Md; ae Lad; ARM,0.88
IMG_139,Fire Scene,fire,1 fire region,"""el; al es; Aa]",0.86
IMG_140,Fire Scene,fire,1 fire region,8 |; nie; et |,0.87
IMG_141,Fire Scene,fire,1 fire region,None,0.91
IMG_142,Fire Scene,fire,1 fire region,ae]; neat; Bal,0.84
IMG_143,Fire Scene,fire,1 fire region,Dl ee; —- et,0.45
IMG_144,Fire Scene,fire,1 fire region,None,0.92
IMG_145,Fire Scene,fire,1 fire region,"ca i; ae,; 1, gee",0.81
IMG_146,Fire Scene,fire,1 fire region,"A eet; "" Aiieal",0.89
IMG_147,Fire Scene,fire,1 fire region,None,0.89
IMG_148,Fire Scene,fire,1 fire region,J ‘,0.91
IMG_149,Fire Scene,fire,1 fire region,None,0.87
IMG_150,Fire Scene,fire,1 fire region,None,0.88
IMG_151,Fire Scene,fire,1 fire region,None,0.93
IMG_152,Fire Scene,fire,1 fire region,None,0.92
IMG_153,Fire Scene,fire,1 fire region,None,0.91
IMG_154,Fire Scene,fire,1 fire region,None,0.9
IMG_155,Fire Scene,fire,1 fire region,ak Ts ae,0.91
IMG_156,Fire Scene,fire,1 fire region,None,0.86
IMG_157,Fire Scene,fire,1 fire region,None,0.85
IMG_158,Fire Scene,fire,1 fire region,io.,0.9
IMG_159,Fire Scene,fire,1 fire region,None,0.87
IMG_160,Fire Scene,fire,1 fire region,r As ‘; Del:,0.87
IMG_161,Fire Scene,fire,1 fire region,Wit,0.9
IMG_162,Fire Scene,fire,1 fire region,rid,0.81
IMG_163,Fire Scene,fire,1 fire region,Pret,0.9
IMG_164,Fire Scene,fire,1 fire region,"a Os; fia, ie ‘4; hts",0.78
IMG_165,Fire Scene,fire,1 fire region,None,0.91
IMG_166,Fire Scene,fire,1 fire region,None,0.88
IMG_167,Fire Scene,fire,1 fire region,[Wold,0.89
IMG_168,Fire Scene,fire,1 fire region,vat; nell f.,0.89
IMG_169,Fire Scene,fire,1 fire region,Ee:; fey,0.89
IMG_170,Fire Scene,fire,1 fire region,Sse; — ica; sal Fi,0.89
IMG_171,Fire Scene,fire,1 fire region,None,0.87
IMG_172,Fire Scene,fire,1 fire region,"ii€ in,",0.91
IMG_173,Fire Scene,fire,1 fire region,None,0.91
IMG_174,Fire Scene,fire,2 fire regions,None,0.85
IMG_175,Fire Scene,fire,1 fire region,} bps ;,0.82
IMG_176,Fire Scene,fire,1 fire region,None,0.85
IMG_177,Fire Scene,fire,1 fire region,None,0.92
IMG_178,Fire Scene,fire,1 fire region,None,0.87
IMG_179,Fire Scene,fire,1 fire region,None,0.92
IMG_180,Fire Scene,fire,2 fire regions,None,0.82
IMG_181,Fire Scene,fire,1 fire region,None,0.88
IMG_182,Fire Scene,fire,1 fire region,al es,0.74
IMG_183,Fire Scene,fire,1 fire region,aes; ote,0.89
IMG_184,Fire Scene,fire,1 fire region,None,0.89
IMG_185,Fire Scene,fire,1 fire region,None,0.85
IMG_186,Fire Scene,fire,1 fire region,1 HF bun,0.89
IMG_187,Fire Scene,fire,1 fire region,vy th,0.93
IMG_188,Fire Scene,fire,1 fire region,Pairs eet e]; x 1); food,0.92
IMG_189,Fire Scene,fire,1 fire region,wl pen; ‘eet,0.67
IMG_190,Fire Scene,fire,1 fire region,Pata Ceti EL]; aa |; The,0.88
IMG_191,Fire Scene,fire,1 fire region,Dae; Wer; oth,0.8
IMG_192,Fire Scene,fire,1 fire region,Ph AdL scold Wet,0.92
IMG_193,Fire Scene,fire,1 fire region,None,0.88
IMG_194,Fire Scene,fire,1 fire region,Yt); \ 7; asad,0.91
IMG_195,Fire Scene,fire,1 fire region,nH f,0.91
IMG_196,Fire Scene,fire,1 fire region,None,0.89
IMG_197,Fire Scene,fire,1 fire region,None,0.93
IMG_198,Fire Scene,fire,1 fire region,= a3; ear ile; paid,0.92
IMG_199,Fire Scene,fire,1 fire region,None,0.86
IMG_200,Fire Scene,fire,1 fire region,~ al,0.83
IMG_201,Fire Scene,fire,1 fire region,None,0.86
IMG_202,Fire Scene,fire,1 fire region,} ‘eo,0.8
IMG_203,Fire Scene,fire,1 fire region,None,0.84
IMG_204,Fire Scene,fire,1 fire region,oat; > mi; we |,0.9
IMG_205,Fire Scene,fire,1 fire region,Maas,0.92
IMG_206,Fire Scene,fire,1 fire region,Lip; F |,0.88
IMG_207,Fire Scene,fire,1 fire region,Hi),0.86
IMG_208,Fire Scene,fire,1 fire region,\iea,0.9
IMG_209,Fire Scene,fire,1 fire region,None,0.92
IMG_210,Fire Scene,fire,1 fire region,None,0.9
IMG_211,Fire Scene,fire,1 fire region,None,0.9
IMG_212,Fire Scene,fire,1 fire region,None,0.91
IMG_213,Fire Scene,fire,1 fire region,Nes,0.92
IMG_214,Fire Scene,fire,1 fire region,None,0.91
IMG_215,Fire Scene,fire,1 fire region,ret; \\ jail,0.89
IMG_216,Fire Scene,fire,1 fire region,None,0.88
IMG_217,Fire Scene,fire,1 fire region,None,0.91
IMG_218,Fire Scene,fire,1 fire region,None,0.86
IMG_219,Fire Scene,fire,1 fire region,7 7,0.87
IMG_220,Fire Scene,fire,1 fire region,Fis,0.85
IMG_221,Fire Scene,fire,1 fire region,4 i; ith,0.83
IMG_222,Fire Scene,fire,1 fire region,None,0.9
IMG_223,Fire Scene,fire,1 fire region,None,0.84
IMG_224,Fire Scene,fire,1 fire region,wee; “ia,0.92
IMG_225,Fire Scene,fire,1 fire region,Ets; esac,0.87
IMG_226,Fire Scene,fire,1 fire region,None,0.89
IMG_227,Fire Scene,fire,1 fire region,rial; are,0.84
IMG_228,Fire Scene,fire,1 fire region,None,0.9
IMG_229,Fire Scene,fire,1 fire region,“all; mare,0.88
IMG_230,Fire Scene,fire,1 fire region,None,0.87
IMG_231,Fire Scene,fire,1 fire region,None,0.92
IMG_232,Fire Scene,fire,1 fire region,None,0.85
IMG_233,Fire Scene,fire,1 fire region,None,0.92
IMG_234,Fire Scene,fire,1 fire region,None,0.84
IMG_235,Fire Scene,fire,1 fire region,"Sei,",0.88
IMG_236,Fire Scene,fire,1 fire region,oat,0.87
IMG_237,Fire Scene,fire,1 fire region,None,0.9
IMG_238,Fire Scene,fire,1 fire region,None,0.86
IMG_239,Fire Scene,fire,1 fire region,Ele; o—-,0.88
IMG_240,Fire Scene,smoke,1 smoke plume,pais.; are; aad,0.84
IMG_241,Fire Scene,fire,1 fire region,None,0.91
IMG_242,Fire Scene,fire,1 fire region,iis; cae es,0.9
IMG_243,Fire Scene,fire,1 fire region,ty Me; pet; ———— ae,0.88
IMG_244,Fire Scene,fire,1 fire region,None,0.88
IMG_245,Fire Scene,fire,1 fire region,None,0.88
IMG_246,Fire Scene,fire,1 fire region,None,0.86
IMG_247,Fire Scene,fire,1 fire region,None,0.85
IMG_248,Fire Scene,fire,1 fire region,None,0.89
IMG_249,Fire Scene,fire,1 fire region,None,0.86
IMG_250,Fire Scene,fire,1 fire region,None,0.86
IMG_251,Fire Scene,fire,1 fire region,None,0.93
IMG_252,Fire Scene,fire,1 fire region,None,0.9
IMG_253,Fire Scene,fire,1 fire region,None,0.88
IMG_254,Fire Scene,fire,1 fire region,None,0.91
IMG_255,Fire Scene,fire,1 fire region,None,0.87
IMG_256,Fire Scene,fire,1 fire region,None,0.9
IMG_257,Fire Scene,fire,1 fire region,a #; hry,0.87
IMG_258,Fire Scene,fire,1 fire region,None,0.89
IMG_259,Fire Scene,fire,1 fire region,all; “Rh,0.89
IMG_260,Fire Scene,fire,1 fire region,= 9; “i a; sake},0.83
IMG_261,Fire Scene,fire,1 fire region,my <i; hej,0.9
IMG_262,Fire Scene,fire,1 fire region,None,0.91
IMG_263,Fire Scene,fire,1 fire region,None,0.89
IMG_264,Fire Scene,fire,1 fire region,nly,0.9
IMG_265,Fire Scene,fire,1 fire region,None,0.9
IMG_266,Fire Scene,fire,1 fire region,None,0.87
IMG_267,Fire Scene,fire,1 fire region,has; Pye; ma |,0.89
IMG_268,Fire Scene,fire,1 fire region,None,0.83
IMG_269,Fire Scene,fire,1 fire region,None,0.82
IMG_270,Fire Scene,fire,1 fire region,None,0.89
IMG_271,Fire Scene,fire,1 fire region,None,0.87
IMG_272,Fire Scene,fire,1 fire region,None,0.86
IMG_273,General Incident,light,1 light,ney; ene; Se _,0.95
IMG_274,General Incident,light,1 light,None,0.92
IMG_275,General Incident,light,1 light,None,0.92
IMG_276,General Incident,light,1 light,None,0.86
IMG_277,General Incident,light,1 light,None,0.93
IMG_278,General Incident,light,1 light,None,0.88
IMG_279,General Incident,light,1 light,None,0.81
IMG_280,General Incident,light,1 light,By i; oval; vhs,0.93
IMG_281,General Incident,light,1 light,None,0.91
IMG_282,General Incident,light,1 light,None,0.9
IMG_283,General Incident,light,1 light,- —N,0.86
IMG_284,General Incident,light,1 light,None,0.88
IMG_285,General Incident,light,1 light,None,0.87
IMG_286,General Incident,light,1 light,AES; ihe; bo),0.91
IMG_287,General Incident,light,1 light,None,0.86
IMG_288,General Incident,light,1 light,None,0.9
IMG_289,General Incident,light,1 light,None,0.93
IMG_290,General Incident,light,1 light,None,0.93
IMG_291,General Incident,light,1 light,None,0.94
IMG_292,General Incident,light,1 light,None,0.88
IMG_293,General Incident,light,1 light,c __,0.93
IMG_294,General Incident,light,1 light,None,0.88
IMG_295,General Incident,light,1 light,had; aii 1c; pale 53,0.94
IMG_296,General Incident,light,1 light,"2},; ah ee; 5a!",0.89
IMG_297,General Incident,light,1 light,~ hae,0.92
IMG_298,General Incident,light,1 light,pentane; oes; Les,0.91
IMG_299,General Incident,light,1 light,None,0.93
IMG_300,General Incident,light,1 light,None,0.89
IMG_301,General Incident,light,1 light,None,0.91
IMG_302,General Incident,light,1 light,None,0.88
IMG_303,General Incident,light,1 light,None,0.91
IMG_304,General Incident,light,2 lights,None,0.89
IMG_305,General Incident,light,1 light,None,0.91
IMG_306,General Incident,light,1 light,bet kof; pee; noi,0.93
IMG_307,General Incident,light,1 light,None,0.92
IMG_308,General Incident,light,1 light,None,0.9
IMG_309,General Incident,light,1 light,<4.; aot; ee gee |,0.93
IMG_310,General Incident,light,1 light,cease il,0.95
IMG_311,General Incident,light,1 light,iit; c |,0.93
IMG_312,General Incident,light,1 light,None,0.87
IMG_313,General Incident,light,1 light,None,0.88
IMG_314,General Incident,light,1 light,None,0.91
IMG_315,General Incident,light,1 light,dig,0.83
IMG_316,General Incident,light,1 light,None,0.94
IMG_317,General Incident,light,1 light,None,0.93
IMG_318,General Incident,light,1 light,None,0.92
IMG_319,General Incident,light,1 light,None,0.86
IMG_320,General Incident,light,1 light,None,0.92
IMG_321,General Incident,light,1 light,None,0.9
IMG_322,General Incident,light,1 light,None,0.92
IMG_323,General Incident,light,1 light,en OT ea; eae,0.94
IMG_324,General Incident,light,1 light,None,0.91
IMG_325,General Incident,light,1 light,2 |,0.64
IMG_326,General Incident,light,1 light,"Vb,",0.58
IMG_327,General Incident,light,1 light,None,0.85
IMG_328,General Incident,light,1 light,[| 1,0.82
IMG_329,General Incident,light,1 light,so!,0.68
IMG_330,General Incident,light,1 light,ety,0.75
IMG_331,General Incident,light,1 light,Ply; eft; hy |,0.7
IMG_332,General Incident,light,1 light,None,0.65
IMG_333,General Incident,light,1 light,ty!,0.76
IMG_334,General Incident,light,1 light,None,0.78
IMG_335,General Incident,light,1 light,None,0.84
IMG_336,General Incident,light,1 light,None,0.82
IMG_337,General Incident,light,1 light,\ a,0.78
IMG_338,General Incident,light,1 light,None,0.82
IMG_339,General Incident,light,1 light,yf ],0.76
IMG_340,General Incident,light,1 light,None,0.79
IMG_341,General Incident,light,1 light,tA wv,0.82
IMG_342,General Incident,light,1 light,bey; Wey me; ial,0.82
IMG_343,General Incident,light,1 light,at!; crt; PA.,0.89
IMG_344,General Incident,light,1 light,men,0.81
IMG_345,General Incident,light,1 light,None,0.87
IMG_346,General Incident,light,1 light,None,0.93
IMG_347,General Incident,light,1 light,2 ww,0.96
IMG_348,General Incident,light,1 light,None,0.91
IMG_349,General Incident,light,1 light,None,0.84
IMG_350,General Incident,light,1 light,eat,0.93
IMG_351,General Incident,light,1 light,None,0.89
IMG_352,General Incident,light,1 light,None,0.94
IMG_353,General Incident,light,1 light,"ial; May, hes; fad",0.92
IMG_354,General Incident,light,1 light,tak,0.92
IMG_355,General Incident,light,1 light,None,0.93
IMG_356,General Incident,light,1 light,None,0.9
IMG_357,General Incident,light,1 light,None,0.94
IMG_358,General Incident,light,1 light,None,0.9
IMG_359,General Incident,light,1 light,reer; oe |,0.9
IMG_360,General Incident,light,1 light,None,0.86
IMG_361,General Incident,light,1 light,None,0.91
IMG_362,General Incident,light,1 light,Salt Ue; aes; fac!,0.89
IMG_363,General Incident,light,1 light,None,0.91
IMG_364,General Incident,light,1 light,None,0.87
IMG_365,General Incident,light,1 light,at _|; id |; foe,0.92
IMG_366,General Incident,light,1 light,ray; a |,0.92
IMG_367,General Incident,light,1 light,None,0.94
IMG_368,General Incident,light,1 light,"ee,",0.91
IMG_369,General Incident,light,2 lights,None,0.85
IMG_370,General Incident,light,1 light,None,0.92
IMG_371,General Incident,light,1 light,ial,0.91
IMG_372,General Incident,light,1 light,ee),0.89
IMG_373,General Incident,light,1 light,= a,0.87
IMG_374,General Incident,light,1 light,oti,0.82
IMG_375,General Incident,light,1 light,ea 7; = a; mega,0.9
IMG_376,General Incident,light,1 light,None,0.78
IMG_377,General Incident,light,1 light,eal,0.93
IMG_378,General Incident,light,1 light,iat,0.91
IMG_379,General Incident,light,1 light,None,0.88
